SentimentDevice,SalesDevice
HP PAVILION X360 14,PAVILION X360
HP NOTEBOOK 15,NOTEBOOK 15
HP ENVY DESKTOP,ENVY
HP PAVILION 14,PAVILION
HP LAPTOP 247 G8 14,LAPTOP
HP OMEN DESKTOP,OMEN
HP VICTUS  5 15,VICTUS
HP LAPTOP 15S ,HP LAPTOP 15
HP PAVILION PLUS 14,PAVILION PLUS
HP LAPTOP 14S ,HP LAPTOP 14
HP 250 G8 15 ,HP 250
HP PAVILION DESKTOP,PAVILION
HP OMEN 16,OMEN 16
HP OMEN 15,OMEN
HP PAVILION 17,PAVILION 17
HP PAVILION GAMING DESKTOP,PAVILION GAMING
HP ENVY 17,ENVY 17
HP LAPTOP 17T 17,HP LAPTOP 17
HP PAVILION TP01 DESKTOP,PAVILION
HP LAPTOP 15 ,HP LAPTOP 15
HP OMEN 17,OMEN
HP VICTUS  5 16,VICTUS
HP VICTUS15,VICTUS
HP PAVILION AIO 27,PAVILION
HP ENVY X360 13,ENVY X360 13
HP PAVILION GAMING 15,PAVILION GAMING
HP OMEN 30L DESKTOP,OMEN
HP PAVILION AIO 23,PAVILION
HP PAVILION AIO 32,PAVILION
HP SPECTRE X360 16,SPECTRE X360
HP PAVILION X360 15,PAVILION X360 15
HP PAVILION 27,PAVILION
HP SPECTRE X360 13,SPECTRE X360
HP OMEN GAMING DESKTOP,OMEN
HP ENVY 2,ENVY
HP ENVY X360 14,ENVY X360
HP OMEN GAMING LAPTOP,LAPTOP
HP ENVY 16,ENVY
HP PAVILION PLUS 16,PAVILION PLUS
HP PAVILION PLUS 15,PAVILION PLUS
HP PAVILION PRO 13,PAVILION
HP ZHAN 66 AIO 24,ZHAN
HP ENVY 34,ENVY
HP ZHAN 66 DESKTOP,ZHAN
HP ZHAN 99 DESKTOP,ZHAN
HP ZHAN 99 15,ZHAN
HP ZHAN X 14,ZHAN
HP PAVILION PRO 14,PAVILION
HP ZHAN X 13,ZHAN
HP ZHAN 66 14,ZHAN
HP PAVILION  13,PAVILION
HP PAVILION 13,PAVILION 13
HP ZHAN 99 AIO 23,ZHAN
HP PAVILION AIO 21,PAVILION
HP OMEN DEKSTOP,OMEN
HP PAVILION DESKTOP ,PAVILION
HP OMEN DESKTOP ,OMEN
HP LAPTOP PRO 14 ,LAPTOP
HP ZHAN 66 15,ZHAN
HP LAPTOP PRO 15,LAPTOP
HP LAPTOP 13,LAPTOP
HP LAPTOP PRO 14,LAPTOP
HP LAPTOP 15S,HP LAPTOP 15
HP 240 G8 14,HP 240
HP 250 G8 15,HP 250
HP 247 G8 LAPTOP 14,LAPTOP
HP ELITEBOOOK G7 14,HP ELITE
HP ELITEBOOOK G9 14,HP ELITE
HP ELITEBOOOK G9 16,HP ELITE
HP ZBOOK G8 17,ZBOOK
HP PAVILION GAMING 16,PAVILION GAMING
HP PAVILION ALL-IN-ONE 24,PAVILION
HP PAVILION AIO 24,PAVILION
HP PAVILION X360 11,PAVILION X360
HP ENVY 15,ENVY 15
HP ENVY AIO 34,ENVY
HP TABLET 11,TABLET 11
HP VICTUS DESKTOP,VICTUS
HP PROBOOK 15,HP PROBOOK
HP PROBOOK 14,HP PROBOOK
HP PAVILION AERO 13,PAVILION AERO
HP ZBOOK G9 15,ZBOOK
HP ELITE G9 DESKTOP,HP ELITE
HP ZBOOK FIREFLY 14,ZBOOK FIREFLY
HP SPECTRE X360 14,SPECTRE X360
HP PAVILION PRO 15,PAVILION
HP XIAOOUXING AIO 23,XING
HP PROBOOK G8 13,HP PROBOOK
HP PAVILION GAMING 17,HP PAVILION GAMING 17
HP STREAM 17,HP STREAM
HP 245 G8 14,HP 245
HP VICTUS DESKTOP ,VICTUS
HP 250 15,HP 250
HP PAVILION GAMING LAPTOP 15,PAVILION GAMING
HP PAVILION AIO 22,PAVILION
HP ENVY 17T 17,ENVY 17
HP PAVILION GAMING DESKTOP ,PAVILION GAMING
HP ELITEBOOK 630 G9 13,HP ELITEBOOK 630
HP OMEN 40L DESKTOP,OMEN
HP PAVILION AERO 14,PAVILION AERO
HP ENVY 13,ENVY 13
HP PAVILION 2,PAVILION
HP LAPTOP 14S,HP LAPTOP 14
HP ENVY X360 2 15,ENVY X360
HP LAPTOP 17Z 17,HP LAPTOP 17
HP ENVY 17T,ENVY 17
HP SPECTRE X360 15,SPECTRE X360
HP PAVILION ALL-IN-ONE 27,PAVILION
HP ENVY 31,ENVY
HP PAVILION 23,PAVILION
HP 246 G8 14,HP 246
HP PROBOOK 450 G8 15,HP PROBOOK
HP PROBOOK 455 G8 15,HP PROBOOK
HP ENVY 14,ENVY 14
HP 256 G8 15,HP 256
HP ENVY X360  15,ENVY X360
HP ELITEBOOK 840 14,ELITEBOOK
HP 250 G7 15,HP 250
HP ZHAN 99 PRO G4 DESKTOP,ZHAN
HP ENVY TE01 GAMING DESKTOP,ENVY
HP OMEN 45L DESKTOP,OMEN
HP 245-G7 14,HP 245
HP OMEN 25L DESKTOP,OMEN
HP OMEN 6 PRO DESKTOP,OMEN
HP 240 14,HP 240
HP PROBOOK X360 G1 11,PROBOOK X360
HP PROBOOK X360 13,PROBOOK X360
HP 245 G8 LAPTOP 14,HP 245
HP ENVY X360 15T,ENVY X360 15
HP ENVY 17M 17,ENVY 17
HP ZBOOK STUDIO G8 15,HP ZBOOK STUDIO G8
HP ZHAN 14,ZHAN
HP ZHAN 16,ZHAN
HP OMEN 14,OMEN
HP PAVILION 14 PRO,PAVILION
HP PAVILION 13 AIR,PAVILION 13
HP ZHAN 99 DESKTOP ,ZHAN
HP ZHAN 66 DESKTOP ,ZHAN
HP ENVY DESKTOP ,ENVY
HP OMEN 8 PRO 16,OMEN
HP OMEN 8 16,OMEN
HP OMEN 7 16,OMEN
HP OMEN 8 17,OMEN
HP PROBOOK 650 G8 15,HP PROBOOK
HP ZHAN 99 15 ,ZHAN
HP ZHAN X 16 ,ZHAN
HP ZHAN AIR 14,ZHAN
HP ELITEBOOK 13,ELITEBOOK
HP PAVILION  14,PAVILION
HP ZBOOK FIREFLY G8 15,ZBOOK FIREFLY
HP ELITEBOOK G3 13,ELITEBOOK
HP ELITEBOOOK G8 15,HP ELITE
HP 246 G9 14,HP 246
HP ZHAN X 16,ZHAN
HP ZHAN 99 16,ZHAN
HP OMEN 9 SLIM 16,OMEN
HP VICTUS 16 ,VICTUS
HP ZHAN 99 AIO 27,ZHAN
HP NOTEBOOK STARBOOK,NOTEBOOK
HP PAVILION PRO 16,PAVILION
HP STREAM  15,HP STREAM
HP OMEN  15,OMEN
HP OMEN  16,OMEN
HP PAVILION  15,PAVILION
HP ENVY X360  13,ENVY X360
HP ZHAN AIO  14,ZHAN
HP ZHAN 99 AIO  15,ZHAN
HP PAVILION GAMING  14,PAVILION GAMING
HP PAVILION  16,PAVILION
HP PAVILION GAMING  16,PAVILION GAMING
HP ZBOOK  15,ZBOOK
HP PAVILION  17,PAVILION
HP ZHAN X  16,ZHAN
HP LAPTOP  14,LAPTOP
HP STREAM 15,HP STREAM
HP LAPTOP  17,LAPTOP
HP LAPTOP  15,LAPTOP
HP 250 G8  15,HP 250
HP STREAM  14,HP STREAM
HP ENVY X260 15,ENVY X2
HP STREAM  AIO 24,HP STREAM
HP ENVY AIO 23,ENVY
HP ENVY  17,ENVY
HP STREAM  17,HP STREAM
HP SPECTRE 17,SPECTRE
HP LAPTOPS  15,LAPTOP
HP PAVILION X360  14,PAVILION X360
HP VICTUS16,VICTUS
HP LAPTOP 11S 17,LAPTOP
HP ELITEBOOOK G6 15,HP ELITE
HP PAVILION X360 15 ,PAVILION X360 15
HP STREAM X360 14,HP STREAM
HP ZHAN 66 6 14,ZHAN
HP ZHAN DESKTOP,ZHAN
HP ZHAN 15,ZHAN
HP PAVILION 16,PAVILION
HP ZHAN 99 AIO 24,ZHAN
HP PAVILION GAMING 14,PAVILION GAMING
HP CHROMEBOOK 14A 14,HP CHROMEBOOK
HP CHROMEBOOK X360 14,HP CHROMEBOOK X360
HP CHROMEBOOK 15,HP CHROMEBOOK
HP CHROMEBOOK 14,HP CHROMEBOOK
HP CHROMEBOOK 11,HP CHROMEBOOK
HP CHROMEBOOK X360 14C 14,HP CHROMEBOOK X360
HP CHROMEBOOK 11A 11,HP CHROMEBOOK
HP CHROMEBOOK G5 14,HP CHROMEBOOK
HP CHROMEBOOK 14B 14,HP CHROMEBOOK
HP CHROMEBOOK X360 13,HP CHROMEBOOK X360
HP CHROMEBOOK X360 12,HP CHROMEBOOK X360
HP CHROMEBOOK G5 11,HP CHROMEBOOK
HP CHROMEBOOK X360 SPIN 14,HP CHROMEBOOK X360
HP CHROMEBOOK X360 14A 14,HP CHROMEBOOK X360
HP CHROMEBOOK G3 11,HP CHROMEBOOK
HP CHROMEBOOK 12,HP CHROMEBOOK
HP CHROMEBOOK X360  14,HP CHROMEBOOK X360
HP CHROMEBOOK G7 14,HP CHROMEBOOK
LENOVO IDEAPAD 15,IDEAPAD 1
LENOVO IDEAPAD SLIM 3 15,IDEAPAD SLIM
LENOVO IDEAPAD SLIM 1 15,LENOVO IDEAPAD SLIM 1
LENOVO IDEAPAD SLIM 5 15,IDEAPAD SLIM
LENOVO LEGION SLIM 5 16 ,LENOVO LEGION SLIM 5
LENOVO THINKPAD X 12,THINKPAD X
LENOVO LEGION 5 DESKTOP,LEGION 5
LENOVO THINKPAD X270  14,THINKPAD X
LENOVO IDEAPAD SLIM 1 14,LENOVO IDEAPAD SLIM 1
LENOVO IDEAPAD 17,IDEAPAD 1
LENOVO LEGION R9000 16,LEGION
LENOVO LEGION Y9000 16,LEGION
LENOVO LEGION R7000 15,LEGION
LENOVO LEGION Y7000 16,LENOVO LEGION Y7000
LENOVO IDEAPAD 3 15,IDEAPAD 3
LENOVO IDEAPAD 5 14,IDEAPAD 5
LENOVO V17 17,V17
LENOVO THINKPAD 14,THINKPAD
LENOVO LEGION 5 PRO 16,LEGION 5
LENOVO IDEAPAD GAMING 3 16,IDEAPAD GAMING 3
LENOVO IDEAPAD GAMING 3 15 ,IDEAPAD GAMING 3
LENOVO THINKPAD T 14,THINKPAD T
LENOVO IDEAPAD 1 14,IDEAPAD 1
LENOVO FLEX 5 14,FLEX
LENOVO LOQ 16,LENOVO LOQ 16
LENOVO THINKPAD YOGA X1 13,THINKPAD YOGA
LENOVO YOGA SLIM PRO 7 I4 ,YOGA SLIM PRO 7
LENOVO IDEAPAD 3 14,IDEAPAD 3
LENOVO IDEAPAD FLEX 5 16,IDEAPAD FLEX 5
LENOVO GEEKPRO G5000 15,GEEKPRO
LENOVO V15 15,V15
LENOVO IDEAPAD  GAMING 3 15,IDEAPAD
LENOVO IDEAPAD 1 15,IDEAPAD 1
LENOVO YOGA SLIM PRO 7 16,YOGA SLIM PRO 7
LENOVO LEGION R7000 16,LEGION
LENOVO IDEAPAD 1 11,IDEAPAD 1 11
LENOVO YOGA AIO 27,YOGA
LENOVO IDEAPAD 3 17,IDEAPAD 3
LENOVO IDEAPAD 3,IDEAPAD 3
LENOVO IDEAPAD DUET 3 10 ,IDEAPAD DUET
LENOVO YOGA 7 14,YOGA 7
LENOVO IDEAPAD 3I 14,IDEAPAD 3
LENOVO THINKPAD L13 ,THINKPAD L
LENOVO IDEAPAD FLEX 5 14,IDEAPAD FLEX 5
LENOVO LEGION Y9000P 16,LEGION
LENOVO LEGION Y7000 15,LENOVO LEGION Y7000
LENOVO IDEAPAD SLIM 3 14,IDEAPAD SLIM
LENOVO IDEAPAD GAMING 3 15,IDEAPAD GAMING 3
LENOVO THINKPAD E14 14,THINKPAD E
LENOVO DUET CHROMEBOOK 10,CHROMEBOOK
LENOVO LEGION TOWER 5 GAMING DESKTOP,LEGION
LENOVO IDEAPAD GAMING 15,IDEAPAD GAMING
LENOVO IDEAPAD PRO 5 14,IDEAPAD PRO 5
LENOVO LEGION PRO 7I 16,LEGION
LENOVO YOGA 9I AIO,YOGA 9I
LENOVO LEGION Y9000K 16,LEGION
LENOVO YOGA  SLIM PRO 7 14,SLIM PRO 7
LENOVO LEGION 5 40,LEGION 5
LENOVO LENOVO V15 15,V15
LENOVO YOGA 7 16,YOGA 7
LENOVO LOQ 15,LENOVO LOQ 15
LENOVO LEGION SLIM 5 16,LENOVO LEGION SLIM 5
LENOVO IDEAPAD D330 10,IDEAPAD D330
LENOVO V15 ,V15
LENOVO LEGION PRO 5 16,LENOVO LEGION PRO 5
LENOVO FLEX 5 15,FLEX
LENOVO XIAOXIN PRO AIO 27,XIAOXIN PRO
LENOVO XIAOXIN AIO 23,XIAOXIN
LENOVO YOGA AIR 31,YOGA
LENOVO XIAOXIN AIO 27,XIAOXIN
LENOVO YOGA 27,YOGA 2
LENOVO XIAOXIN AIO,XIAOXIN
LENOVO THINKPAD E 14 ,THINKPAD E
LENOVO IDEAPAD SLIM 15,LENOVO IDEAPAD SLIM 1
LENOVO IDEAPAD 14,IDEAPAD 1
LENOVO LEGION 5 15,LEGION 5
LENOVO LEGION Y7000P 15,LENOVO LEGION Y7000
LENOVO IDEAPAD 3I 15,IDEAPAD 3
LENOVO IDEAPAD L340 11,IDEAPAD L
LENOVO YOGA 7I 16,YOGA 7I
LENOVO YOGA 6 13.3,YOGA 6
LENOVO YOGA 7I 14,YOGA 7I
LENOVO YOGA 9I 14,YOGA 9I
LENOVO YOGA 6 13,YOGA 6
LENOVO FLEX 5I 15,FLEX
LENOVO LEGION SLIM 7I 16,LENOVO LEGION SLIM 7
LENOVO LEGION SLIM 7 16,LENOVO LEGION SLIM 7
LENOVO IDEAPAD FLEX 5I 16,IDEAPAD FLEX 5
LENOVO THINKPAD YOGA L13 13,THINKPAD YOGA
LENOVO YOGA BOOK 9,YOGA BOOK
LENOVO YOGA 7,YOGA 7
LENOVO LEGION 16,LEGION
LENOVO THINKPAD,THINKPAD
LENOVO IDEAPAD FLEX 5I 14,IDEAPAD FLEX 5
LENOVO IDEAPAD 16,IDEAPAD 1
LENOVO IDEAPAD S150 14,IDEAPAD S150
LENOVO XIAOXIN AIR 14,XIAOXIN AIR
LENOVO XIAOXIN PRO 16,XIAOXIN PRO
LENOVO XIAOXIN PRO 14,XIAOXIN PRO
LENOVO XIAOXIN 16,XIAOXIN
LENOVO XIAOXIN AIR 15,XIAOXIN AIR
LENOVO IDEAPAD S 14,IDEAPAD S
LENOVO IDEAPAD GAMING 16,IDEAPAD GAMING
LENOVO THINKPAD P 15,THINKPAD P
LENOVO THINKPAD PLUS 14,THINKPAD P
LENOVO THINKPAD 16,THINKPAD
LENOVO THINKPAD S2 13,THINKPAD S
LENOVO THINKPAD X1 NANO 13,THINKPAD X
LENOVO THINKPAD NEO 14,THINKPAD N
LENOVO THINKPAD X 13,THINKPAD X
LENOVO XIAOXIN DESKTOP,XIAOXIN
LENOVO GEEKPRO DESKTOP,GEEKPRO
LENOVO LEGION BLADE DESKTOP,LEGION
LENOVO LEGION DESKTOP,LEGION
LENOVO THINKPAD 15,THINKPAD
LENOVO IDEAPAD 14 ,IDEAPAD 1
LENOVO V14 14,V14
LENOVO YOGA PRO 14 ,YOGA PRO 1
LENOVO XIAOXIN PRO ,XIAOXIN PRO
LENOVO XIAOXIN DUET 12,XIAOXIN
LENOVO ZHAOYANG 15,ZHAOYANG
LENOVO THINKPAD P15V 15,THINKPAD P
LENOVO THINKPAD X1 CARBON 14,THINKPAD X
LENOVO THINKPAD E 14,THINKPAD E
LENOVO THINKPAD 14 ,THINKPAD
LENOVO THINKPAD T14 14,THINKPAD T
LENOVO THINKPAD PLUS 16,THINKPAD P
LENOVO THINKPAD 16 ,THINKPAD
LENOVO THINKPAD E 15,THINKPAD E
LENOVO THINKPAD X13 13,THINKPAD X
LENOVO LEGION 9000K DESKTOP,LEGION
LENOVO THINKCENTRE E98 DESKTOP,LENOVO THINKCENTRE
LENOVO LEGION 7000P DESKTOP,LEGION 7
LENOVO W4900 DESKTOP,LENOVO W
LENOVO THINKCENTRE Q500 MINI DESKTOP,LENOVO THINKCENTRE
LENOVO THINKCENTRE E900 DESKTOP,LENOVO THINKCENTRE
LENOVO THINKCENTRE NEO DESKTOP,LENOVO THINKCENTRE
LENOVO NOTEBOOK IDEAPAD 3I 15,IDEAPAD 3
LENOVO IDEAPAD 3 GAMING 15,IDEAPAD 3
LENOVO IDEAPAD DUET 3I 10,IDEAPAD DUET
LENOVO IDEAPAD DUET 5 12,IDEAPAD DUET 5
LENOVO XIAOXIN AIR PLUS 14,XIAOXIN AIR
LENOVO THINKBOOK 15,THINKBOOK
LENOVO YOGA 16S 16,YOGA
LENOVO IDEAPAD 14S ,IDEAPAD 1
LENOVO THINKBOOK 14,THINKBOOK
LENOVO YOGA 14S 14,YOGA
LENOVO THINKBOOK 16,THINKBOOK
LENOVO THINKPAD YOGA S2 13,THINKPAD YOGA
LENOVO THINKPAD X1 13,THINKPAD X
LENOVO THINKCENTRE DESKTOP,LENOVO THINKCENTRE
LENOVO IDEAPAD 5 PRO 16,IDEAPAD 5
LENOVO YOGA SLIM 7 14,YOGA SLIM 7
LENOVO THINKCENTRE M93P DESKTOP,LENOVO THINKCENTRE
LENOVO LEGION 3 15,LEGION
LENOVO IDEAPAD S340 14,IDEAPAD S
LENOVO IDEAPAD SLIM 5 PRO 14,IDEAPAD SLIM
LENOVO IDEAPAD SLIM 1 11,LENOVO IDEAPAD SLIM 1
LENOVO IDEAPAD SLIM 5 14,IDEAPAD SLIM
LENOVO IDEAPAD SLIM 5 16,IDEAPAD SLIM
LENOVO IDEAPAD 5 16,IDEAPAD 5
LENOVO IDEAPAD 10,IDEAPAD 1
LENOVO IDEAPAD L340 15,IDEAPAD L
LENOVO IDEAPAD 1I 11,IDEAPAD 1
LENOVO YOGA SLIM 7 13,YOGA SLIM 7
LENOVO 300W 3 11,LENOVO 300W
LENOVO YOGA SLIM 7 16,YOGA SLIM 7
LENOVO 500W 3 11,LENOVO 500W
LENOVO LEGION 5 16,LEGION 5
LENOVO LEGION 5 17,LEGION 5
LENOVO CHROMEBOOK 11,LENOVO CHROMEBOOK
LENOVO SLIM 7 PRO 14,SLIM 7
LENOVO THINKPAD P17 17,THINKPAD P
LENOVO YOGA A940 27,YOGA
LENOVO YOGA 7I 15,YOGA 7I
LENOVO THINKPAD YOGA 13,THINKPAD YOGA
LENOVO LEGION SLIM 7 15,LENOVO LEGION SLIM 7
LENOVO THINKPAD YOGA X1 14,THINKPAD YOGA
LENOVO IDEAPAD 5 15,IDEAPAD 5
LENOVO THINKPAD X1 16,THINKPAD X
LENOVO V15 ADA LAPTOP,V15
LENOVO IDEAPAD 3 11,IDEAPAD 3
LENOVO IDEAPAD S145 15,IDEAPAD S
LENOVO YOGA C740 15,YOGA
LENOVO LEGION 5I DESKTOP,LEGION 5
LENOVO IDEAPAD FLEX 14,IDEAPAD FLEX
LENOVO IDEAPAD  3 15,IDEAPAD
LENOVO IDEAPAD DUET 3 10,IDEAPAD DUET
LENOVO THINKPAD X270 12,THINKPAD X
LENOVO THINKPAD E15 15,THINKPAD E
LENOVO IDEAPAD SLIM 14,LENOVO IDEAPAD SLIM 1
LENOVO YOGA SLIM 14,YOGA
LENOVO THINKPAD YOGA 11,THINKPAD YOGA
LENOVO THINKPAD YOGA 11E,THINKPAD YOGA
LENOVO FLEX 11,FLEX
LENOVO IDEAPAD 1I 14,IDEAPAD 1
LENOVO YOGA 14,YOGA
LENOVO XIAOXIN PRO 13,XIAOXIN PRO
LENOVO ZHAOYANG 14,ZHAOYANG
LENOVO THINKPAD 13,THINKPAD 13
LENOVO IDEAPAD S340 15,IDEAPAD S
LENOVO IDEAPAD SLIM 7I PRO 14,IDEAPAD SLIM 7
LENOVO SLIM 7 16,SLIM 7
LENOVO THINKCENTRE M910Q DESKTOP,LENOVO THINKCENTRE
LENOVO THINKCENTRE M900 DESKTOP,LENOVO THINKCENTRE
LENOVO THINKPAD YOGA 260 12,LENOVO THINKPAD YOGA 260
LENOVO THINKPAD T470 14,THINKPAD T
LENOVO THINKPAD 12,THINKPAD
LENOVO LEGION 5 17 17,LEGION 5
LENOVO THINKBOOK 13S 13,THINKBOOK
LENOVO IDEAPAD1 15,IDEAPAD
LENOVO NOTEBOOK V145 15,NOTEBOOK
LENOVO THINKPAD T16 16,THINKPAD T
LENOVO IDEAPAD 5,IDEAPAD 5
LENOVO IDEAPAD DUET 10,IDEAPAD DUET
LENOVO IDEAPAD FLEX 3 11,IDEAPAD FLEX
LENOVO LEGION R7000P 15,LEGION
LENOVO LEGION R9000P 16,LEGION
LENOVO LEGION R9000K 16,LEGION
LENOVO YANGTIAN S5430 AIO 24,YANGTIAN
LENOVO QITIAN M420 DESKTOP,QITIAN
LENOVO IDEAPAD SLIM 5 PRO 16,IDEAPAD SLIM
LENOVO IDEAPAD SLIM 3I 15,IDEAPAD SLIM
LENOVO LEGION Y740 15,LEGION
LENOVO V15,V15
LENOVO IDEAPAD GAMING L340 15,LENOVO IDEAPAD GAMING L340
LENOVO YOGA 7 11,YOGA 7
LENOVO IDEAPAD S540 10,IDEAPAD S
LENOVO LEGION Y540 15,LENOVO LEGION Y540
LENOVO IDEAPAD S145 10,IDEAPAD S
LENOVO IDEAPAD 330 15,IDEAPAD 3
LENOVO IDEAPAD SLIM 3I 14,IDEAPAD SLIM
LENOVO IDEAPAD SLIM 5I PRO 14,IDEAPAD SLIM
LENOVO IDEAPAD SLIM 350I 14,IDEAPAD SLIM
LENOVO IDEAPAD 5I PRO 14,IDEAPAD 5I
LENOVO IDEAPAD GAMING 3I 15,IDEAPAD GAMING 3I
LENOVO NOTEBOOK V15 15,NOTEBOOK
LENOVO YOGA C740 14,YOGA
LENOVO YOGA 730 15,YOGA 7
LENOVO YOGA C940 14,YOGA
LENOVO YOGA C930 14,YOGA
LENOVO YOGA 9I 15,YOGA 9I
LENOVO IDEAPAD 3I 17,IDEAPAD 3
LENOVO THINKPAD P1 15,THINKPAD P
LENOVO IDEAPAD 14S 14,IDEAPAD 1
LENOVO LEGION 7000K DESKTOP,LEGION 7
LENOVO IDEACENTRE GEEKPRO DESKTOP,GEEKPRO
LENOVO THINKCENTRE E77 DESKTOP,LENOVO THINKCENTRE
LENOVO LEGION R9000X 15,LEGION
LENOVO YOGA A940 AIO 24,YOGA
LENOVO THINKCENTRE M715 DESKTOP,LENOVO THINKCENTRE
LENOVO YOGA 7I 13,YOGA 7I
